-0.452915,0.722502,0.174413,0.971222,0.038528,-0.056230,-0.228216,0.000000
-0.452869,0.722558,0.174493,0.971230,0.038528,-0.056137,-0.228204,0.000000
-0.452877,0.722728,0.174729,0.971340,0.038578,-0.055888,-0.227788,0.000000
-0.453030,0.722903,0.174949,0.971443,0.038648,-0.055691,-0.227382,0.000000
-0.452972,0.723107,0.175140,0.971543,0.038627,-0.055416,-0.227025,0.000000
-0.453220,0.723112,0.175568,0.971555,0.038779,-0.055305,-0.226975,0.000000
-0.453879,0.722901,0.176406,0.971439,0.039157,-0.055513,-0.227357,0.000000
-0.454933,0.722518,0.177752,0.971192,0.039790,-0.056022,-0.228174,0.000000
-0.456380,0.721877,0.179728,0.970787,0.040633,-0.056872,-0.229539,0.000000
-0.457521,0.721233,0.181188,0.970480,0.041342,-0.057498,-0.230552,0.000000
-0.458296,0.720748,0.182392,0.970222,0.041861,-0.057949,-0.231429,0.000000
-0.458377,0.720618,0.183310,0.970037,0.041999,-0.058101,-0.232141,0.000000
-0.457814,0.720868,0.183867,0.969946,0.041695,-0.058048,-0.232589,0.000000
-0.457125,0.721035,0.183736,0.969980,0.041333,-0.057862,-0.232557,0.000000
-0.456108,0.721170,0.182669,0.970132,0.040804,-0.057534,-0.232097,0.000000
-0.455222,0.721328,0.181538,0.970286,0.040333,-0.057192,-0.231620,0.000000
-0.454365,0.721605,0.180425,0.970428,0.039837,-0.056932,-0.231174,0.000000
-0.453738,0.721794,0.179490,0.970554,0.039474,-0.056703,-0.230764,0.000000
-0.453280,0.721943,0.178880,0.970619,0.039208,-0.056599,-0.230559,0.000000
-0.452877,0.722012,0.178393,0.970670,0.038980,-0.056502,-0.230409,0.000000
-0.452253,0.722167,0.178096,0.970666,0.038608,-0.056450,-0.230499,0.000000
-0.451657,0.722338,0.178121,0.970641,0.038247,-0.056439,-0.230667,0.000000
-0.450967,0.722491,0.178118,0.970629,0.037830,-0.056406,-0.230798,0.000000
-0.450323,0.722727,0.178202,0.970606,0.037403,-0.056405,-0.230961,0.000000
-0.449706,0.722961,0.178391,0.970553,0.037022,-0.056469,-0.231231,0.000000
-0.449235,0.723196,0.178680,0.970478,0.036676,-0.056642,-0.231557,0.000000
-0.449035,0.723271,0.178975,0.970363,0.036506,-0.056964,-0.231989,0.000000
-0.449170,0.723244,0.179183,0.970245,0.036702,-0.057330,-0.232357,0.000000
-0.449249,0.723180,0.179377,0.970104,0.037058,-0.057671,-0.232809,0.000000
-0.449336,0.722999,0.179712,0.969924,0.037613,-0.058051,-0.233372,0.000000
-0.449551,0.722846,0.180363,0.969662,0.038435,-0.058484,-0.234216,0.000000
-0.449659,0.722601,0.180941,0.969398,0.039446,-0.058809,-0.235060,0.000000
-0.449572,0.722179,0.181337,0.969092,0.041095,-0.058920,-0.236009,0.000000
-0.449409,0.721833,0.181611,0.968857,0.042474,-0.058991,-0.236712,0.000000
-0.448922,0.721756,0.181833,0.968636,0.043609,-0.058915,-0.237429,0.000000
-0.448133,0.721675,0.181682,0.968473,0.044721,-0.058606,-0.237961,0.000000
-0.447322,0.721527,0.181233,0.968375,0.045768,-0.058238,-0.238250,0.000000
-0.446359,0.721622,0.180523,0.968355,0.046626,-0.057762,-0.238280,0.000000
-0.444702,0.722034,0.179366,0.968436,0.047114,-0.057077,-0.238023,0.000000
-0.442936,0.722581,0.178414,0.968564,0.046989,-0.056400,-0.237687,0.000000
-0.440846,0.723397,0.177623,0.968699,0.046349,-0.055773,-0.237408,0.000000
-0.438537,0.724291,0.176891,0.968854,0.045377,-0.055135,-0.237115,0.000000
-0.436133,0.725194,0.176194,0.969024,0.044165,-0.054532,-0.236788,0.000000
-0.433760,0.726076,0.175686,0.969170,0.042885,-0.054007,-0.236546,0.000000
-0.431081,0.727093,0.175119,0.969331,0.041333,-0.053453,-0.236287,0.000000
-0.429296,0.727698,0.174623,0.969455,0.040281,-0.053078,-0.236045,0.000000
-0.427882,0.728146,0.174144,0.969562,0.039446,-0.052787,-0.235812,0.000000
-0.426445,0.728422,0.173246,0.969723,0.038621,-0.052424,-0.235365,0.000000
-0.425341,0.728701,0.172443,0.969836,0.038088,-0.052147,-0.235051,0.000000
-0.424260,0.728964,0.171506,0.969948,0.037538,-0.051926,-0.234726,0.000000
-0.423140,0.729303,0.170323,0.970072,0.036897,-0.051602,-0.234387,0.000000
-0.422705,0.729496,0.169679,0.970086,0.036670,-0.051530,-0.234379,0.000000
-0.422615,0.729348,0.168780,0.970113,0.036774,-0.051462,-0.234263,0.000000
-0.422959,0.729046,0.168214,0.970097,0.037232,-0.051465,-0.234258,0.000000
-0.423502,0.728877,0.168167,0.969987,0.037851,-0.051648,-0.234574,0.000000
-0.424044,0.728522,0.167908,0.969918,0.038548,-0.051824,-0.234708,0.000000
-0.424766,0.727849,0.167360,0.969875,0.039544,-0.052111,-0.234654,0.000000
-0.425152,0.727378,0.166953,0.969838,0.040335,-0.052297,-0.234633,0.000000
-0.425285,0.727125,0.166460,0.969810,0.040992,-0.052359,-0.234622,0.000000
-0.425328,0.726945,0.165926,0.969802,0.041478,-0.052322,-0.234576,0.000000
-0.425387,0.726736,0.165206,0.969827,0.041897,-0.052268,-0.234411,0.000000
-0.425352,0.726542,0.164510,0.969859,0.042189,-0.052178,-0.234245,0.000000
-0.425317,0.726494,0.164044,0.969834,0.042380,-0.052171,-0.234316,0.000000
-0.425314,0.726325,0.163591,0.969833,0.042522,-0.052150,-0.234298,0.000000
-0.425245,0.726180,0.163204,0.969811,0.042567,-0.052164,-0.234378,0.000000
-0.425307,0.725993,0.162895,0.969768,0.042654,-0.052263,-0.234519,0.000000
-0.425251,0.725868,0.162624,0.969728,0.042722,-0.052298,-0.234666,0.000000
